Title,User,StarsRating,Date,ReviewText
Chis Nolan bomb,paah1944,1/10,3 October 2022,"Have been a Chris Nolan fan big time since watching/ following the Batman trilogy What an effort. Best Batman actor. Best bad guy actor an Aussie In receipt of an Oscar posthumous. Best support actors Gary Oldman a gem. That's two poms Bale & Oldman plus Nolan the pom. Batman not overly complicated or drawn out with monster action pieces. Good story and viewer friendly memorable. This being the main reason I decided to watch Tenet a pommie effort which usually/mostly succeeds. Wrong from the outset sports arena terrorist attack it was foggy complicated all over the shop made no sense blurred vacant rudderless whottha?. A female enters and mumbles alot. The Sci fi where are we really stuff gave me a headache. The lead actor looked like he regretted signing on and bored. Forty five minutes into it I bailed. Maybe Nolan has followed the Cohen brothers to a hole in the ground?

Patrick."
Hands down. Boundaries of cinema is pushed.,anil_pattanaik,9/10,2 October 2022,"Excellent movie, it is definitely difficult to understand in first watch, but that's the style. We go to movie theatre to watch something which will blow our mind, so TENET is the best example. You will be astonished how Christopher Nolan is raising his bars for himself in movie making from ""Following"" to ""Tenet"".

The whole movie is difficult as it was difficult to digest ""Time Travelling"" in early 80's. You will love the movie if you can think everything in non-linear ways ;)

Look, don't get in the theatre if you can't stop thinking in linear terms :) - reference from the movie as told by Aaron Taylor-Johnson."
Overwrites Itself,oliviaburgin17,1/10,2 October 2022,"This film tangles itself up in its own narrative. We have allowed Nolan too much power, and he's collapsed in on himself in a black hole of nonsense.

The logic doesn't hold up, the characters are emotionless and the sound design is atrocious. This film has Nolan's trademark coldness, to its absolute detriment. It lacks any emotional depth and any narrative coherence, losing itself in its own justification and washing up on its own mediocrity with nothing to protect itself with.

Also, write women better. He needs to write better women. This film was so boring because it was just men fighting men about nothing, and it's the same men as in all his other films. Something new please Nolan!"
Very confusing !!,bfsr81,2/10,26 September 2022,"I enjoyed most of Nolan's movies. Those dealing with different time lines such as Inception, memento or Interstellar where one of the best Science Fiction movies in 2000s as they were very enjoyable and understandable.

Unlike previous mentioned movies, this movie is very difficult to follow, the characters are not likable, and even music is not enjoyable. Movie duration becomes excessive under such circumstances where you can't follow anything.

As for the male protagonists, I do not get engaged with them, the performance wasn't good in my opinion, not because of the acting but because of poor writing. In this movie the main character has no tights with no one. No daughters on earth, no beloved ones, no confusion, no twists ...etc. It is very difficult to understand what drives him. It felt like watching a robot !!

Occasionally, I rewatch movies where I feel unfair about my judgement. But frankly Speaking, the simple thought of possibly rewatching it gives me a headache.

I am not sure If Nolan is trying to outsmart us!! Or making us feel like we are intellectually not good enough to understand his work!! It is very confusing ... Probably he needs to rethink again if he correctly passed the narrative and story. I personally think, he failed this time."
A little too much,jesseen,7/10,26 September 2022,"After proving his absolute loyalty in the field, a CIA operative is entrusted with a mission of the highest secrecy: investigating a new physics-defting technology of entropic reversal. His mission pits him against a ruthless Russian arms dealer, whose wife he comes to pity. Can he discover the true nature of his assignment and save everyone he cares for?

If I understand right (which I'm not sure I do), the core mechanism is basically time travel with the gimmick that when you're in the past, things around you move in reverse. And there's no problem with encountering a former version of yourself as long as you don't touch. I suspect the mechanism would break down under close scrutiny.

I think Nolan has hit a tipping point re: the wackiness/complexity of his plots. Inception was wacky, but comprehensible, and very enjoyable. Interstellar was wacky and less comprehensible, but still very enjoyable. But Tenet is so wacky and incomprehensible, the inscrutability harms the enjoyability. I expect he will course-correct after hitting this threshold."
Unintelligible,northernpaladin,4/10,25 September 2022,"I love Christopher Nolans work and see him as one of the outstanding directorial talents of the C21st but this is woeful and after the boring Dunkirk and the fairly average Interstellar one could think he is losing his edge. Some reviews on here have tried to claim that if you don't understand/like the film you are some kind of intellectual pigmy, not only is that clearly insulting it is also wrong headed, it is the director's job to provide us with a narrative that makes sense within the world he has created and offer us characters we can identify enough with to be able to enjoy the journey. In this offering we have story which is completely unfathomable and at times quite stupid that at no time do we really know what is going on or why and by the end we don't know how we got there or whether it was worth it. If we take a similar complex and off kilter offering from Nolan like Inception (or for that matter The Prestige) the plotting logic is clear throughout and although we know it could never be real we accept it because it feels real in the world Nolan has created. Such is not the case with Tenet and although that is largely due to the lack of clarity it is also to do with the performances, Washington is simply not cut out to carry the weight of such a dense movie and spends most of the time looking as confused as we are, Debicki is forgettable and Branagh is dumped with a cardboard cut out Russian oligarch he can do little with, the only bright spot is Pattinson who breezes through the whole thing as if he completely understands everything. Now Nolan has also become known for his spectacular set pieces which punctuate the narrative at the right moment and drive the plot forward, not so here, we have three set pieces, the opera house, the airport and the hidden base, but none of them serve any real purpose other just being big set pieces, this something I'd expect the Russo brothers to do not Christopher Nolan. All in all a disappointing watch and I hope Nolan gets back on track although whether a bio pic is the answer I'm not sure."
Director Christophen Nolan finally got me this time...,gabryant,5/10,24 September 2022,"For the most part, I have enjoyed Nolan''s films, even though his tendency to exposition as people are running and jumping, necessitating me to rewind and turn on the closed captions. I even wear as a badge of honor that I ""got"" Inception.

But Nolan has finally succeeded in confusing me. I'm still trying to figure out what the running backwards stuff signified, other than something about going backwards in time. The final battle scene, though well-staged is a massive exercise in confusing the viewer. Maybe that was Nolan's point.

Nolan always has well executed action sequences, prior complaint about exposition included, and Tenet is no exception. I suppose that you could watch this film for it's action sequences. But without an understanding of it's murky plot? The sequences become meaningless.

Additionally, character motivations have a largely negative impact upon this film? Sator's (Kenneth Branagh) motivation for what he is doing? Weak. In addition to the apparently continuity error of occurring in the past, while everything in the present is okay? Dunno for certain on that one,

But my final analysis on this film is best summed up by Dean Martin, who in a sketch on their old 60's series, said to (Dan) Rowan and (Dick) Martin, ""I lost you at the bakery."" (Google it, can't add the URL.)"
Confusing but very interesting,remcoshtc,9/10,24 September 2022,"The reviews go very different as this movie has plot and screenplay that has to be in your interest. The bad reviews for bad acting is a thing I don't get. The acting was quite good and the plot and confusing scenes are the best points of the movie that shows that time in another way of abuse is something to take serious. Is there a multi universum? Or will a paradox happen? I can say finally a movie that doesn't have a standard ""back-in-time"" personal issue.

To fill up the 600 characters ;) I can go on but that would contain spoilers. 1 tip: Watch the movie twice as it can be to confusing the first time."
Not a great film but definitely an interesting one!,DaGhoulJones,6/10,22 September 2022,"Oh Tenet, haha what are we going to do with you. So I've seen this movie twice now, once in theatres and once at home. After a second viewing and studying the hell out of the plot synopsis on Wikipedia I can say that i kind of get this movie now and I can definitely confirm to myself that I enjoyed it but it is not a great film and definitely not for everyone. Tenet is a very flawed but very interesting film that should only be seen by Nolan die hards, the average movie-goer will HATE this movie but I liked it for it's original concept, I just wish the execution could have been a bit better and a bit more accessible. I just don't think a movie should have to make me look things up to understand it while I'm watching it in order to enjoy it. If you thought inception was confusing then stay the hell away from this one."
"Confusing, self indulgent mess.",Soothin_grain,3/10,22 September 2022,"Maybe I'm getting old, (I'm retired) but this movie was confusingly silly. Some of photography was great. The story was simply this. A rich powerful man is getting old. He's suffering from the stress regarding his own mortality. So he wants to destroy the world (ala If I cant have it, no one will). The good guys want to stop him. Thats it. That is literally the simple plot.

A whole bunch of unnecessary scenes that are edited in a confusing way to trick the audience into thinking its smarter than it actually is. Also the audio was really weird. The audience cant hear the dialog over the weird music."
Great looking and wonderfully acted.,amesmonde,,20 September 2022,"A CIA agent must manipulate the flow of time to prevent an attack from the future that threatens to annihilate the present world.

Director writer Christopher Nolan delivers a visually crisp film, with some spectacular setups. It's entertaining and cerebral, but convoluted in places. It's not a time travel film per-say, more time inversion and temporal paradoxes. The film's cinematography, score, editing, acting and costumes are high quality. It's straight laced, haunting and mesmerising, with echoes of the best of James Bond vibe throughout.

The supporting cast are first rate, leads Washington and Pattinson are outstanding in this backwards-moving, non-linear thinking offering. Branagh's original bad guy is an interesting dysfunctional addition.

Overall, it's grounded sci-fi; quite a simple story, even if a little confusing on the surface. Worth watch for the performances alone."
An incoherent mess from start to finish,amontague-45142,3/10,19 September 2022,"This film is nonsense. The concept throws up so many pseudoscientific concepts any of which aren't even close to interesting. The combination of the forward\reverse action isn't compelling to watch and the story doesn't hold together. Worse stil wastes a talented cast with babbling lines of dialogue that feel like they were fished at random from a hat. The motivation of the antagonist is simply not compelling enough to explain the huge amount of effort he puts into achieving his goals and the brutality he seems to display boils down to him being Russian, one of the few nations stil allowed to be broadly drawn psychopathic villains simply because of where they are from. It's lazy and feels cheap. Honestly the rating reflects the quality that the technical teams put in to the stunts, camera work and sets. The sound mixing is dreadful and I'm glad I streamed this as I had to rewind more than once to hear dialogue, which is pretty unforgivable and must be have been a nightmare in the cinema.

Avoid at all costs, because despite what this film would have you believe, you can't go back..."
Far too stupid for its own good,zenmateisshite,3/10,19 September 2022,"Nolan has proved again that he is a stupid person's idea of a smart person.

He takes basic physics natural phenomena and breaks every law this brain could think of. That could be exciting to make as an action sci-fi movie but in his case it isn't.

In Inception people can influence other people's decisions using dreams and dreams within dreams (OKAY!). In Interstellar love is used to navigate through a black hole (yes I am not kidding), and in Tenet this ""inversion"" malarkey is used to reverse time.

This is yet again a stupid idea that I might have come up with when I was 11. Nolan is a grown man and his ability to convince other grown women and men with his utter nonsensical ideas is stellar. I'll give him that.

His movie making abilities on the other hand are really, really, really overrated and it is painful."
Poor character development and it didn't bring me in.,David431,4/10,19 September 2022,"All but one of the characters were one dimensional. The pseudoscience had no whiteboarding, hopefully there will be a directors cut with a lecture and diagrams. As it stands the story is an excuse to have big explosions and car chases, which is a shame because a lot of locations are very scenic.

The film feels like it was based on a good hook, then it went through a lot of committee stages to remove anything intelligent so it felt confusing at times, intentionally so. Some parts and scenes were good and others not so, and as a result it felt like the film was from parts, made by separate teams stuck together in the cutting room. Generally suffered from too high a budget and not enough work by a couple of capable, focused writers with the director."
Beyond the acceptable complexity,sirieys,5/10,18 September 2022,"There was always going to be a point from which Nolan would fail to capture and retain the attention of audiences. This is it. It's not a bad movie, the acting is good, even the concept is interesting, but I tried to get into the story and connect all the actions but at one point I just gave up and let go. I am sure others will have had the endurance. There is a bit of Lynch's Mulholland Drive here with the second part providing an opportunity to understand fully what's happening to be fair. Maybe it takes a second viewing but where with Inception or Interstellar (or even Memento) this was an exciting perspective, it feels like burden for this one. There had to be a way to make things more within reach, maybe with a simpler plot around the concept."
Far too clever for it's own good,mrglenngrant,4/10,14 September 2022,"This film was everything I expected. And not in a good way.

It's a total brain-ache of a story ... very Nolan-esque you might say. I had to search ""Tenet explained"" after watching it and even after reading numerous articles I'm still not entirely clear what's really going on. Does anyone?

For much of the film it plays as a decent Bond style thriller. So far, so enjoyable. One the inversion stuff kicks in it gets really confusing. We see scenes that played out earlier play out again but from people who are travelling backwards in time's perspective. I'm just about able to grasp how there are three - yes, three - Protagonists in the Oslo turnstile scene. The car chase is one that I don't have the energy to try and understand at this point in the evening. Maybe tomorrow. Maybe I'll cut my losses. And don't get me started on the battle with the temporal pincer movement.

The acting and locations really elevated the film ... however I've always said that a film where you need to watch it more than once to understand - and/or search for explanations after seeing it - has something really wrong with it. I'd wager that anyone who said this film was understandable on first viewing was a Nolanite and a liar. I've seen some reviews that give this film maximum stars - looking at you Cinemablend - and I think they're deluding themselves and just hitting the Nolan coolaid.

It does have some neat and clever time travel elements - don't get me wrong - but the multiple versions of people all co-existing in the same time period with some going backwards and some going forwards and some doing both is just too much and makes the story just to much of a mess to really appreciate. I think if Nolan had dialled things down it would have been a much better film ... but I think that he has such a reputation now that each film has to be more bonkers than the last, unfortunately.

39/100."
Appalling sound recording,kate-foreman-664-656702,4/10,14 September 2022,"Why do film makers seem to be obsessed with overly loud backing tracks to movies? They add nothing to the story and don't move the plot along. On the other hand it did mean you heard less of Kenneth Branagh's appalling 'all purpose one note Russian accent' so that's a plus.

A promising film spoilt by terrible sound recording: this seems to be more and more common lately. Dialogue was either too quiet or the fx and music (which was completely superfluous anyway) drowned it out. There were three of us watching and we gave up by consensus with an hour left to go. Such a pity as it could have been so much better, hence the low score."
Hard to make sense,roxmewild,4/10,10 September 2022,"I think the movie had promise but decided to go down the complex route of revealing the story Right from the start I was unsure what was going on and who was who and what relation they had to one another! This makes for a frustrating movie as you are trying to understand and make sense whilst it continues on and I felt like I was playing catch up the whole time!

I have watched this movie twice and still find parts hard to grasp maybe that was the intention of the writer sadly it only made viewing less enjoyable even the fight scenes are a tad lame as in they actually look like no contact is made which makes it appear quite bland. All in all the hype this movie was given I feel stems from a snobbery factor of people not being able to admit it was overly complicated making it hard to follow and enjoy ."
Laughable,Phillippa_me-me-me,2/10,10 September 2022,"Oh god, where do I even start? Terrible direction, cliche after cliche, embarrassing dialogues, mostly implausible actions and events - do these people not hire consultants to advise them on certain technical aspects while writing the script/filming?!

Not sure why some reviewers are rating it so highly, must be the fast car chase aficionados... In fact, everything is way too fast here, so fast that I often found myself getting lost and not quite comprehending what was being said or how different bits of the story interlocked with each other.

It's a shame, because the premise of this film had some potential. But alas, they managed to make a joke of it all. It's pretty bad, I couldn't watch it until the end."
"I'm a die hard nolanite, but I don't think I'll ever watch Tenet again",fairdraconica,4/10,10 September 2022,"I have to say that I watch everything Nolan makes. I love his unique vision, and I happily watch and re-watch his films and all existing versions of those films. But Tenet doesn't really feel like his film. In comparison to Nolan's intriguing, interesting villains, Tenet's baddie is a cliched, foaming at the mouth psychopath (admittedly, he becomes more coherent within the last 25 minutes, but it's just too late). The main character is not much better, and I just didn't feel much for him at all. I'm not sure it's because of how he was written or if the actor is to blame. I didn't really connect with the vast majority of other characters either. Surprisingly, Neil, the character played by Pattinson was quite interesting, and it's not what I normally say, because I'm not a fan of the actor at all. Yet, I was impressed that he could work with what he was given in this film and make the best out of it. I have no problem with intricate plots, but this one is just hard to follow. Some scenes are more like Michael Bay's garbage than anything that could ever come from Christopher Nolan. The sound effects are horrid in some scenes. The music is good most of the time, but the heavily auto-tuned abomination of a song in the final titles made me roll my eyes. Some people (probably related to the production or distribution this film, one way or another) say that you have to watch Tenet more than once to really get into it, but I just don't want to, and to me it feels like an attempt to make more money. I really don't know what's happened to the film industry of the last few years, but it feels as if all talent is rapidly going out the window."
Complex Cinematography,The-Silver-Shadow,9/10,8 September 2022,"Tenet goes above and beyond your stereotypical cinematography & complexity! Thus is why many of ""user critics"" are writing low-balling reviews, simply because one does not understand the film nor has the intellect to properly dissect the small-to-grand idiosyncrasies composed from beginning-to-end.

If one simply doesn't understand the multi-dimensions of Tenet, don't dismantle a masterpiece just cause it's over-your-head! Embrace the unknown. If you think ""Avengers Endgame"" explains physics better than Tenet, you are confusing sci-fi with actual physics' practices. (Don't get me wrong I love ALL Avengers films). It seems as if any film Watchers & enthusiasts don't have the plot laid out in a rudimentary fashion then it's an automatic negative review. Use your imagination and submerge yourself into the merry-go-round film Tenet, Christopher Nolan is a cinematic marvel guru not for your average viewer with low IQ's."
A masterpiece,ignition1377,10/10,7 September 2022,"Sublime acting, music , screenplay and photography on point.

After watching first time I was not so convinced but the film was so good it made me think and wanting to fully understand so dived in for another 3 times. Director , crew and production geniouses.

A timeless theme about the dimension of time , played to twist your wit in the most exquisite way, putting aside the usual cliche ( or not !!) of geolopolitical issues .

If you want to know a bit more about these concepts, read about philadelphia experiment , remote vision ( started by the soviets) and other de-classified documentations on the experimentation of men vs time and everything will fall into place. Sort of an irony or comical that the artefact capable of destroying our timeline was an algorithm built in a lego like object ."
The rating of this movie shows you the current state of art,mohammad-z,10/10,5 September 2022,"People confuse intelligence with intellect.

If you don't understand this movie you might very well have a high level of intelligence, but you surely lack intellect. Especially if you don't want to understand this movie.

You have to watch it twice, at least, because the second time you know the for your time linear ending and can view the movie simultaneously forwards and backwards.

Many reviewers think the movie is bad because ""they"" didn't grasp the concept of it, they are stuck in linear thinking. Not challenging themselves. Fun fact: Same reviewers complaining about Tenet having ""unreal"" or ""false physics"" concepts, love every Sci-Fi movie packed with impossible nonsense (according to their wording) or Spiderman movie."
Just not very good. Actually terrible!,jbla-75984,1/10,3 September 2022,"It really is terrible acting. That applies all around but who decided that JD Washington should be the lead in any movie. Let alone an actor. His father, Denzel Washington, is amazing but nepotism doesn't make his son a better actor than a pro football player. Also, can't believe the Oscar for special effects honestly. It was sooo obvious that the reverse effects were just rolling film backwards. Seriously, did anyone listen to the soundtrack before they released the movie? A sci-fi movie is supposed to reflect the possibilities the future could bring but the writers had no scientific concept of time travel and resulting paradoxes (let alone good dialog). Even opening your mind to fantastic possibilities in order to enjoy the fun of what could be makes you realize that what the movie presents is just not possible. It's just dumb."
Either love it or hate it,sunilpsagar,9/10,2 September 2022,"I have to confess, i am no Nolan fan and I hated his last three movies. Saw this one on Amazon prime and man this is the best from Nolan for me in over a decade. The take of time travel is great. Just like any dimension, you can go move forward or backward on an axis which I loved. The movie makes more and more sense every time you watch. There is no mindless action or generic men who shoot like they are blind. The plots challenge your thought process and takes multiple viewing to comprehend for a normal human being.

It avoids or mocks most of the cliche in secret agent movies. The acting was a bit of a let down and Nolan's casting is just different* The music is just amazing."
Disappointingly above average from a writer and director I expect more from,nscoby93,7/10,1 September 2022,"This is going to be the hardest review for me to write but I have to be honest and I have to stop reviewing Nolan's films with the fanboy goggles I always have on, that was the point of this marathon.

I've seen Tenet now multiple times since it's home release and everytime I get ready to watch it I always think I'll like it more than last time. Unfortunately this just isn't the case. I'll get all the positives done first. This film is absolutely gorgeous, Nolan is in top fashion here from a film making standpoint. Amazing cinematography, fantastic acting, and a great score. But while I thought the score was great personally I felt Hans Zimmer's absence and really wish he was around.

John David Washington gave a great performance as the protagonist, though he maybe the protagonist the star of the film in this criticics opinion is Robert Pattinson. He just owned the screen in every scene he was in and his character was the better written character in the film. But both Washington and Pattinson had great chemistry, they played off each other very well. The supporting cast isn't asleep here either. Kenneth Branagh played the role of Sator very well, he was truly menacing. Michael Caine in his small role was great but why is in this film? He's just wasted talent here. Aaron Taylor-Johnson gave a great performance as well in his role as Ives, I've really come to like him as an actor and hope to see him in more serious roles.

Yet with all these positives this is unfortunately the weakest thing Nolan I think has written. While the story is intriguing and makes for some great action sequences on film. Nolan's explanation of the key plot element in the entire film is extremely weak. The man who explained things fantastically in Inception can't take the time to explain the complexities of inversion. Granted inversion maybe more complex than anything in Inception but Nolan is a better writer than this. It seems to me Nolan was so focused on making this film the beautiful spectacle it was he forgot the key thing of and I know everyone hates it ""exposition"" it's not a bad word and sometimes it's important.

It gives me no pleasure to say all these things, as a huge fan of Nolan's who has pretty much loved every one of his films this is just rather disappointing. At the end of it all this film is just Christopher Nolan running wild all over the screen with the huge budget of $200 million dollars. Also I know for a fact Nolan has done better on way less. But one thing that cannot be denied is the man sure does know how to put on a spectacle.

Nonetheless Christopher Nolan is still one of the best directors out there. This film is just not the best he's done. All the same I look forward to Nolan's next film Oppenheimer.



IMDb: 7/10 Letterboxd: 3/5

Watched in IMAX Theater."
Demands multiple viewings,anselmdaniel,7/10,29 August 2022,"This review contains spoilers.

Tenet is a science fiction action thriller movie that premiered in 2020. The movie is directed by Christopher Nolan and stars John David Washington as the Protagonist. An attack from the future occurs where objects from the future have reverse entropy and travel into the past.

Tenet is an impressive action movie. This is a movie that screams classic Christopher Nolan with impressionable action scenes that are creative in concept and execution. The movie executes these action scenes with simple concepts but it merges them into a complex package. For example, a plane heist occurs where the agents investigate a vault location. They discover someone else is already in the vault and have a reverse fight scene. There are many small touches that the movie does that make each of the scenes have a more complex quality to it. Almost all of the action scenes have this quality to it and the scenes have added depth because of this. Tenet's action scenes are almost perfectly made for a cult following.

The fault with Tenet would be its lackluster characters. I feel that this is a problem with Christopher Nolan's writing as many of his characters do not resonate emotionally with the audience. This occurred in other Christopher Nolan written movies where the protagonists do not have much depth. Tenet is no different with how the movie employs its characters. There are basic motivations with the characters driving the events. This is not to say that the acting is poor. John David Washington does a phenomenal job as the protagonist. There was a lack of drama that could have elevated the movie to a classic.

The time travel and reversal is one of the best and worst aspects of the movie. The movie utilizes the reversal incredibly with all of the action scenes involving it in some way. The plot is also rife with lots of reversals that impact the way the story plays out. The reversal is impressive but it requires multiple viewings to understand. Good movies with replayability have the audience learning something new about a character or scene. In this movie, a repeated viewing is required to understand character intentions. The characters reverse time and change motivations. This is clear with the villain changing motivations when he was first a bystander. Multiple watches to understand the plot are an annoyance as the story does not gain more depth.

I would recommend ""Tenet"" directed by Christopher Nolan.

Grade: B."
Pretty Pretty Pretty Good,edhutchinson-08617,7/10,24 August 2022,It's a really good movie but it's at least 30 minutes too long. If it was shorter I'd give it a higher rating. Like many other movies that I fond are way too long. The concepts are very interesting.
Mindfully Blowing! Run It Back.,hugo_hilux,7/10,23 August 2022,"Tenet is a concept movie, both in terms of the concepts it develops and in terms of how those ideas deftly influence the narrative's structure. Time is the key to understanding that idea since it flows and may be altered in accordance with the laws of this planet. Tenet's entire design is closely related to the inverted passage of time, much like how Inception bases its heist format on the idea of dream levels rather than vault intrusion. The more you comprehend the inner workings of Tenet, the more obvious it will become where the world is going, which makes for an enjoyable voyage for the viewer.

A calm and assured CIA agent (John David Washington) solely known as the Protagonist receives this unfavorable information. Then it is revealed to him that some items that are dispersed over the globe are traveling backwards in time; they were created in the future and are now travelling into the past. Clémence Poésy, an exposition-spouting physicist, has figured out that these ""inverted"" artifacts are the remains of a war that will be waged centuries from now but that would nonetheless wipe out all of history in some way that I didn't comprehend. You get it? No, so did I, but the point is that it resembles a game of dominoes more than a nuclear catastrophe.

It is yet another amazing addition to Nolan's body of work. It serves as a successful illustration of the appeal of standalone, non-serialized original storytelling in a world when franchises and sequels rule blockbuster movies. Tenet, however, is Christopher Nolan's ""safest"" film in some time, despite the fact that it breaks new ground. Tenet, the director's third ambitious feature, feels a little staid, as if Nolan's aesthetic were a franchise rather than a framework. Despite this, it nevertheless manages to be more engaging than the majority of tentpole films and serves as a showcase for the director's talents. Tenet serves as an excellent reminder of the potential of blockbuster filmmaking at a time when cinema is perhaps going through its most challenging period in its history. Tenet serves as a great reminder of the potential of blockbuster cinema and the benefits of watching it in a big, dark space."
Great movie if your intelligent enough to follow along,rignahhh,10/10,22 August 2022,"Anyone who rates this movie below a 7 is seriously lacking intelligence. Most people leaving negative reviews admit to either not watching the entire movie or simply not understanding the movie. Is the movie difficult to follow along? Yes... but that's the point of the movie... ""ignorance is our ammunition"" isn't just a phrase for the protagonist, but it's the state we're supposed to be in during a large majority of the movie.

We're given pieces to the puzzle during the film that don't quite match up, but by the end everything falls into place perfectly... and that... is a satisfying feeling. That's the genius of the movie. I will admit this movie isn't for everyone, if you're someone who doesn't like to think too hard you'll hate it, but otherwise it's a must watch."
.taerg saw sihT,collinsgamertv,8/10,22 August 2022,"I don't know why anybody hated this, and thought it was confusing. I perfectly understood it. The score was great, the acting was great, just everything was really good!"
Another movie with !,johnbrandt-27777,1/10,21 August 2022,The people making the movie said nothing bad about it while filming it a lot of hype! But I've watched it twice thinking I misses the plot but nope 👎 it isn't there ! The worst movie I've seen in about 5 years. It's too bad because I was waiting for it to come out but disappointed once again!
Brilliant scope but reached too far,georgeski-35277,7/10,18 August 2022,"I am a massive fan of Christopher Nolan and all his work. This film, for me, was fantastic and everything I would want from a Nolan film. However, my girlfriend was completely confused and could not continue watching as the concepts and issues tackled in the film was so complex and the explanation was patchy at best. Great for movie fans and those who like complex story lines, not great for anyone who wants a casual experience."
Don't expect too much,Zhi-ling,7/10,17 August 2022,"The movie is hard to understand, but that's okay. You can watch it twice. But I have no interest in seeing it again. It's not like Inception. There are a lot of exciting scenes in the movie, but I don't even feel the tension. The characters are boring."
Hard to understand,wkvmjzzpd,8/10,16 August 2022,Hard to understand but if you watch ten3t 2 times you can understand the film. I like this film. Story is intresting. The performances of the actors are good. But I cant understand the end of the film.
unsatisfactory,Shzh-demaoong,7/10,15 August 2022,"Nolan is telling us what Inception would be like if it didn't work out.

The visuals are great, but I still get distracted sometimes, and the characters are boring. Although you can see a lot of effort put into the film, the overall effect is not satisfactory."
Time travel like no other,ddouglas793,10/10,15 August 2022,This movie was da bomb...no pun intended. Nolan outdid himself here...Master piece! Unbelievable writing and so was the casting and the acting! Way more than what I expected. Now I'm gonna have watch Inception...Just like to know if it is even comparable to Tenet since I read recently that Inception was a perfect movie with a twist and I love movies that can keep you on the edge of your seat which is literally where Tenet had me.
Pseudoscientific mumbojumbo,gthyni,1/10,14 August 2022,"Lots of action but I lost interest in the plot b/c the insistence of ""scientific"" explanations that was just word salad. Films do not have to be realistic but this one took pretentiousness way too far."
Concept,greatsr,9/10,14 August 2022,"Perhaps Tenet is the weakest film in Nolan's career. He looks great in the trailer, and is no longer so intricate after 20 minutes of viewing. Yes, the denouement is excellent, the camera work is done at an unrealistic level. But there really is no plot here, the cast is not the strongest, perhaps only Robert Pattinson and Kenneth Branagh stands out. I expected something more, apparently Nolan raised the bar too much. If you compare Tenet with that Inception, then complete degradation in all aspects is on the face."
P.O.S.,quarternoteholdings,1/10,14 August 2022,"Wow. 2.5 hours of my life I'll never get back.

I like JD Washington but he needs to pick better scripts. I mean I know it was Covid time but seriously doing nothing would have been better.

And Christopher Nolan, you should be ashamed that your name is tied to this. Although most of your stuff is pretty out there anyway. If it wasn't for Batman you'd be looking at a catalog of Too Bad.

Do yourself a favour and watch something else. There's many choices and unfortunately mine was a big mistake."
Nolans weakest film,travola-35109,7/10,13 August 2022,"The story pretty much means nothing. You won't care about the characters either. It's like Nolan cranked up the things people complain most about his films. It's loud and you can't hear anyone, the story is weak, weak characters, etc etc.

That being said it's obviously a beautiful film. It's a sleek (super sleek) spy thriller. The set pieces are fun and entertaining. If you just watch it as a fun spy thriller with cool things to look at you'll be fine. Don't look for deeper meaning or try and understand the science in this one because none of it makes sense. If it didn't look great and the action scenes weren't fun and I wasn't a big Nolan fan it would probably be a 5.

I also really like John David Washington and I want him to be a big star so I gotta give it some love because he's great in the role and I hope he does more action films."
🤔 What? Who? 🤔 Intense movie,znsfh,8/10,13 August 2022,"Likely would have been a 10 if I fully understood it. Loved the idea and the action. Brilliant!

Read some reviews and somehow I now know less. Sator Square?

Halfway through I just excepted that I don't understand and let myself experience one of the most amazing action scenes to the end. It came together in the last half hour.

It's an awesome movie that is very unique and the action scenes will impress you."
See it for what it is.,tlght,8/10,12 August 2022,"First, it's Christopher Nolan. So you know that you will have to watch the movie twice. Second, it's Christopher Nolan, so there's Easter eggs. Third, it's (yeah you know it) Christopher Nolan, so if your looking for the predictable format in entertainment, don't watch Nolan movies...

That being said, I enjoyed the architecture of it. Understanding the scenes from both perspectives, The logic of going through the motions, to assure the outcome. Very mathematic in it's form of thinking, once you get it, you see the originality.

To respect the format, it couldn't have been done any other way and to enjoy the movie, you have to be in a cerebral, who's done it, kind of mood."
Watching this feels like working on a test,daryopeek,7/10,12 August 2022,"Okay! I get it the director is smart. The movie has interesting concept and several scenes are amazing. However, I think I can't grasp the idea well because the pace and dialogues are too fast. They spoke like in those politics roundtable discussion, thus in the midway I can't follow any of the plot. Maybe I'm too dumb for this movie. I still can enjoy the action though, but not entertained at all. I expect people would love to watch this movie again to make sense the whole story, but I feel like one time is enough. It's like working on a test from a subject I don't understand. I only want to take it once."
Ancient Sator Square,Kapyong,7/10,11 August 2022,"Haven't read all 5 thousand posts to check if someone has already mentioned this, but keywords of this movie come from an ancient 5 word square :

SATOR AREPO TENET OPERA ROTAS

Goes back even to ancient Rome, search ""Sator square""."
Loved it! Needs rewatching to fully understand,manonlemieux,9/10,9 August 2022,"I love when movies are different, even if they fail. For me this was a hit. But like other hard to understand the first time movies, like Mission Impossible, I know I'll watch it again and again and catch more things. I love The Gray Man but it's not super original, this is. Had me right out the gate."
Definitely worst Nolan film to date,vdmascarenhas,6/10,8 August 2022,"The concept is great. It's not time travel, but reversed entropy. But the plot is over complicated, or at least too boring to follow. The acting (apart from the villain) is passable. Soundtrack that usually is superb in Nolans movies is blant. I'm a big fan of Nolan, but he overdone himself in this one."
